ID	K01179	K01178	K01176	K01209	K01191	K06113	K01205	K04072	K18593	cf	TC	CN	NO3	pH	Shannon	Actinobacteria	Thaumarchaeota	Distance
QH1000	368.3931	79.13308	71.75217	151.6751	71.73139	46.96314	2.169215	51.96129	6.519818	0.345187	1	0.129084	0.013674	0.018868	6.22026	0.330922	2116.543	1000
QH1000	382.3629	71.88029	83.28835	172.5942	67.942	37.91463	4.395462	53.38047	9.498083	0.211361	0.858634	0.081915	0.554136	0	6.221051	0.32394	2097.189	1000
QH1000	421.6874	88.87389	75.1133	156.6663	85.28595	43.46065	0.104155	51.70876	18.5604	0.234188	0.500044	0	0.442278	0.245283	6.145357	0.39681	4172.874	1000
QH2000	386.1782	54.00757	65.66157	183.1289	60.40245	36.19391	2.5468	47.34548	6.713029	0	0.107542	0.032575	1	0.320755	6.204252	0.255125	522.8725	500
QH2000	382.684	73.8049	82.06739	178.5683	74.01342	34.65514	3.505081	58.66563	8.446214	0.149059	0.099223	0.00117	0.079523	0.45283	6.161377	0.229068	832.1855	500
QH2000	365.2439	63.68045	62.13309	193.4284	61.48563	39.48826	3.65919	55.59807	5.986465	0.299697	0.018821	0.087346	0.134163	0.367925	6.157062	0.211594	728.4353	500
QH4000	439.4114	59.13489	105.9558	176.028	53.2715	62.61101	2.165224	45.71974	3.975498	0.082885	0	0.078934	0.175409	0.471698	6.294968	0.226342	564.9421	0
QH4000	342.1584	60.91655	63.22206	147.1927	49.26563	33.52347	3.476626	45.72434	6.81506	0.006609	0.053374	0.048719	0.75835	0.283019	6.091148	0.242915	872.4189	0
QH4000	345.8076	59.90306	68.58266	136.6223	63.82017	40.90662	4.419562	44.28175	5.543612	0.09104	0.112991	0.080854	0.037211	0.311321	6.162791	0.230214	676.6926	0
XJ0	393.0859	60.55682	137.757	139.6126	126.7885	47.6969	7.524234	31.34688	2.566518	0.405049	0	0.535061	0.68998	0.574803	6.107243	0.328613	477.8425	4000
XJ0	440.3663	65.6504	153.4883	152.9327	105.0453	30.86506	9.416067	30.1247	2.803495	0.388226	0.759558	0.13133	0.894082	0.708661	6.197124	0.286848	314.1499	4000
XJ0	424.7661	55.39412	174.6669	151.6869	99.79401	46.67683	15.4387	29.0643	3.256136	1	0.696159	0.243245	0.234701	0.740157	6.215878	0.320575	669.9131	4000
XJ500	395.2854	54.71581	123.4932	134.4251	56.5284	69.88377	4.357685	22.05512	2.867959	0.171489	0.053315	0.768307	0.129119	0.724409	6.030186	0.239358	625.7083	2000
XJ500	503.5059	64.99254	152.17	184.5759	61.07573	102.192	7.256809	16.51236	3.237048	0.231733	0.147229	0.79145	1	0.88189	6.138141	0.233729	1255.928	2000
XJ500	383.784	64.31331	141.7194	125.1341	82.27389	56.6612	8.288764	24.72616	13.73178	0.218604	0.535075	0.104286	0.30733	0.850394	6.032377	0.309591	2746.938	2000
XJ1000	390.7233	66.09951	129.5002	155.2129	94.91709	44.42851	10.90851	27.17549	2.953658	0.056736	0.164854	0.580544	0.02421	0.582677	6.120079	0.296519	671.0559	1000
XJ1000	427.1168	55.94473	123.3731	171.9768	90.62861	47.18182	8.113472	31.88686	1.722369	0.030806	0.122764	1	0.04842	0.582677	6.138714	0.276148	297.5104	1000
XJ1000	399.2078	54.5638	122.5063	151.3737	83.52786	53.25644	4.413474	24.0653	1.58306	0.070992	0.314276	0.444696	0.04035	0.220472	6.096434	0.325549	359.9975	1000
XJ2000	390.7385	63.41344	151.1808	129.0137	83.44894	38.75273	10.37467	37.22597	5.659645	0	0.993862	0	0.06456	0	6.175271	0.293558	1218.297	500
XJ2000	388.6278	76.25625	154.531	143.2815	94.58229	32.95629	7.462811	42.52702	6.821999	0.214633	0.571378	0.19568	0.00807	0.244094	6.123219	0.331883	649.4057	500
XJ2000	430.7954	54.62454	168.2875	147.6702	79.64382	34.37909	6.333811	32.5525	4.05207	0.214633	0.738425	0.153161	0	1	6.203286	0.297242	924.1793	500
XJ4000	497.2163	59.47009	142.36	169.8625	97.52211	62.95408	18.63629	16.94237	2.886318	0.061969	0.565591	0.204985	0.00807	0.307087	6.344911	0.271004	1003.678	0
XJ4000	400.3115	57.8983	114.6029	139.8652	79.95112	39.34928	5.421701	18.13966	2.051586	0.003054	0.540337	0.213289	0.01614	0.283465	6.197375	0.260856	909.4339	0
XJ4000	454.4106	57.25552	143.0288	147.6777	82.09474	37.20961	12.69546	32.27215	1.872122	0.075545	1	0.181268	0.166779	0.015748	6.215977	0.240643	1156.451	0
